id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
williamsoncountyschools.data.socrata.com,,https://williamsoncountyschools.data.socrata.com,socrata,Open data portal,,,,,,https://williamsoncountyschools.data.socrata.com/api,0,active
woburnma.data.socrata.com,,https://woburnma.data.socrata.com,socrata,Open data portal,,,,,,https://woburnma.data.socrata.com/api,0,active
woodburycountyia.data.socrata.com,,https://woodburycountyia.data.socrata.com,socrata,Open data portal,,,,,,https://woodburycountyia.data.socrata.com/api,0,active
wsac.demo.socrata.com,,https://wsac.demo.socrata.com,socrata,Open data portal,,,,,,https://wsac.demo.socrata.com/api,4,active
wyomingpels-dev-reporting.data.socrata.com,,https://wyomingpels-dev-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://wyomingpels-dev-reporting.data.socrata.com/api,0,active
wyomingpels-reporting.data.socrata.com,,https://wyomingpels-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://wyomingpels-reporting.data.socrata.com/api,0,active
wyomingpels-uat-reporting.data.socrata.com,,https://wyomingpels-uat-reporting.data.socrata.com,socrata,Open data portal,,,,,,https://wyomingpels-uat-reporting.data.socrata.com/api,0,active
yorkcountyva.data.socrata.com,,https://yorkcountyva.data.socrata.com,socrata,Open data portal,,,,,,https://yorkcountyva.data.socrata.com/api,0,active
youth-development-index-cs.demo.socrata.com,,https://youth-development-index-cs.demo.socrata.com,socrata,Open data portal,,,,,,https://youth-development-index-cs.demo.socrata.com/api,2,active
yumaaz.data.socrata.com,,https://yumaaz.data.socrata.com,socrata,Open data portal,,,,,,https://yumaaz.data.socrata.com/api,9,active
